date,open,high,low,close,volume
1999-09-13,3.9520,3.9520,3.9520,3.9520,0
1999-09-14,3.9520,3.9520,3.9520,3.9520,0
1999-09-15,3.9520,3.9520,3.9520,3.9520,0
1999-09-16,3.9520,3.9520,3.9520,3.9520,0
1999-09-17,3.9520,3.9520,3.9520,3.9520,0
1999-09-20,3.9520,3.9520,3.9520,3.9520,0
1999-09-21,3.9520,3.9520,3.9520,3.9520,0
1999-09-22,3.9520,3.9520,3.9520,3.9520,0
1999-09-23,3.9520,3.9520,3.9520,3.9520,0
1999-09-24,3.7827,3.7827,3.7827,3.7827,815
1999-09-27,3.7827,3.7827,3.7827,3.7827,0
1999-09-28,3.7827,3.7827,3.7827,3.7827,0
1999-09-29,3.7827,3.7827,3.7827,3.7827,0
1999-09-30,3.7827,3.7827,3.7827,3.7827,0
1999-10-01,3.7827,3.7827,3.7827,3.7827,0
1999-10-04,3.7827,3.7827,3.7827,3.7827,0
1999-10-05,3.7827,3.7827,3.7827,3.7827,0
1999-10-06,3.7827,3.7827,3.7827,3.7827,0
1999-10-07,4.0918,4.0918,4.0918,4.0918,3667
1999-10-08,4.0918,4.0918,4.0918,4.0918,3667
1999-10-11,4.0918,4.0918,4.0918,4.0918,0
1999-10-12,4.0918,4.0918,4.0918,4.0918,0
1999-10-13,4.0771,4.0771,4.0771,4.0771,0
1999-10-14,4.0771,4.0771,4.0771,4.0771,0
1999-10-15,3.8784,3.8784,3.8784,3.8784,11204
1999-10-18,3.8784,3.8784,3.8784,3.8784,11204
1999-10-19,3.8784,3.8784,3.8784,3.8784,11204
1999-10-20,3.8784,3.8784,3.8784,3.8784,11204
1999-10-21,3.8784,3.8784,3.8784,3.8784,0
1999-10-22,4.0255,4.0255,4.0255,4.0255,2037
1999-10-25,4.0255,4.0255,4.0255,4.0255,2037
1999-10-26,4.0623,4.0623,4.0623,4.0623,1019
1999-10-27,4.0623,4.0623,4.0623,4.0623,1019
1999-10-28,4.0623,4.0623,4.0623,4.0623,1019
1999-10-29,4.0623,4.0623,4.0623,4.0623,1019
1999-11-01,4.0623,4.0623,4.0623,4.0623,1019
1999-11-02,4.0623,4.0623,4.0623,4.0623,1019
1999-11-03,4.1654,4.1654,4.1654,4.1654,204
1999-11-04,4.1212,4.1212,4.1212,4.1212,2037
1999-11-05,4.1359,4.1507,4.1359,4.1507,815
1999-11-08,4.1359,4.1359,4.1359,4.1359,815
1999-11-09,4.0255,4.0255,4.0255,4.0255,611
1999-11-10,4.0255,4.0255,4.0255,4.0255,204
1999-11-11,3.9961,3.9961,3.9961,3.9961,3056
1999-11-12,3.9961,3.9961,3.9961,3.9961,3056
1999-11-15,3.9961,3.9961,3.9961,3.9961,3056
1999-11-16,4.1654,4.1654,4.1654,4.1654,41761
1999-11-17,4.1507,4.1507,4.1507,4.1507,3056
1999-11-18,4.1507,4.1507,4.1507,4.1507,3056
1999-11-19,4.1507,4.1507,4.1507,4.1507,3056
1999-11-22,4.1507,4.1507,4.1507,4.1507,3056
1999-11-23,4.1507,4.1507,4.1507,4.1507,3056
1999-11-24,4.1507,4.1507,4.1507,4.1507,3056
1999-11-26,4.1507,4.1507,4.1507,4.1507,3056
1999-11-29,4.1507,4.1507,4.1507,4.1507,3056
1999-11-30,4.1507,4.1507,4.1507,4.1507,3056
1999-12-01,4.1507,4.1507,4.1507,4.1507,3056
1999-12-02,3.9372,3.9372,3.9372,3.9372,3259
1999-12-03,3.9078,3.9078,3.8931,3.9078,611
1999-12-06,3.9225,3.9225,3.9225,3.9225,35446
1999-12-07,3.9225,3.9225,3.9225,3.9225,35446
1999-12-08,3.9225,3.9225,3.9225,3.9225,0
1999-12-09,3.9225,3.9225,3.9225,3.9225,0
1999-12-10,3.9372,3.9372,3.9372,3.9372,1833
1999-12-13,3.9372,3.9372,3.9372,3.9372,1833
1999-12-14,3.9372,3.9372,3.9372,3.9372,5093
1999-12-15,3.9372,3.9372,3.9372,3.9372,5093
1999-12-16,3.8784,3.8784,3.8784,3.8784,611
1999-12-17,3.8784,3.8784,3.8784,3.8784,611
1999-12-20,3.8784,3.8784,3.8784,3.8784,204
1999-12-21,3.8416,3.8416,3.7974,3.8416,1630
1999-12-22,3.8416,3.9814,3.8121,3.8268,4278
