date,open,high,low,close,volume
1996-08-30,1.8593,1.8593,1.8468,1.8468,46800
1996-09-03,1.8228,1.8228,1.8113,1.8228,20000
1996-09-04,1.8344,1.8344,1.8344,1.8344,2000
1996-09-05,1.8344,1.8344,1.8113,1.8113,24800
1996-09-06,1.8228,1.8344,1.8228,1.8228,9600
1996-09-09,1.8344,1.8344,1.8344,1.8344,2000
1996-09-10,1.8344,1.8344,1.8344,1.8344,400
1996-09-11,1.8344,1.8593,1.8344,1.8593,30000
1996-09-12,1.8708,1.8948,1.8708,1.8948,154400
1996-09-13,1.8948,1.9303,1.8948,1.9303,220400
1996-09-16,1.9303,1.9428,1.9303,1.9303,85600
1996-09-17,1.9428,1.9428,1.9188,1.9303,18400
1996-09-18,1.9303,1.9552,1.9303,1.9552,24800
1996-09-19,1.9668,1.9783,1.9552,1.9783,187600
1996-09-20,2.0032,2.0262,1.9907,2.0262,148400
1996-09-23,2.0262,2.0262,2.0262,2.0262,67600
1996-09-24,2.0262,2.0627,2.0262,2.0512,93600
1996-09-25,2.0512,2.0512,2.0512,2.0512,36800
1996-09-26,2.0387,2.0512,1.9552,1.9552,79200
1996-09-27,1.9668,1.9668,1.8948,1.9428,66400
1996-09-30,1.9428,1.9552,1.9428,1.9552,15200
1996-10-01,1.9552,1.9552,1.9428,1.9552,363200
1996-10-02,1.9783,2.0262,1.9783,2.0262,239200
1996-10-03,2.0262,2.0387,2.0147,2.0387,104000
1996-10-04,2.0512,2.0867,2.0512,2.0867,135600
1996-10-07,2.1107,2.1346,2.1107,2.1107,62800
1996-10-08,2.1107,2.1346,2.1107,2.1222,112000
1996-10-09,2.1222,2.1222,2.1107,2.1107,35600
1996-10-10,2.1162,2.1520,2.1162,2.1394,172800
1996-10-11,2.1520,2.1762,2.1520,2.1762,31200
1996-10-14,2.1762,2.2004,2.1762,2.2004,30400
1996-10-15,2.2246,2.2246,2.1394,2.1520,126400
1996-10-16,2.1394,2.1520,2.1162,2.1394,73600
1996-10-17,2.1394,2.1520,2.1278,2.1520,130400
1996-10-18,2.1520,2.2004,2.1394,2.1878,124400
1996-10-21,2.1762,2.2130,2.1762,2.2130,209600
1996-10-22,2.2130,2.2613,2.2004,2.2246,344400
1996-10-23,2.2362,2.2362,2.2004,2.2362,598000
1996-10-24,2.2362,2.2487,2.2246,2.2246,298800
1996-10-25,2.2362,2.2487,2.2246,2.2362,77600
1996-10-28,2.2362,2.2613,2.2246,2.2246,105200
1996-10-29,2.2362,2.2487,2.2246,2.2362,565600
1996-10-30,2.2362,2.2487,2.2246,2.2362,121600
1996-10-31,2.2362,2.2613,2.2362,2.2613,36400
1996-11-01,2.2613,2.3329,2.2613,2.3213,536400
1996-11-04,2.3329,2.4064,2.3329,2.4064,152000
1996-11-05,2.4664,2.5389,2.4422,2.5031,699200
1996-11-06,2.5031,2.6114,2.5031,2.5747,490000
1996-11-07,2.5747,2.5747,2.5031,2.5147,314400
1996-11-08,2.5263,2.5263,2.4780,2.5031,143600
1996-11-11,2.5031,2.5147,2.4780,2.5147,61200
1996-11-12,2.5147,2.5147,2.4180,2.4296,98400
1996-11-13,2.4296,2.4296,2.3213,2.3696,224000
1996-11-14,2.3812,2.4780,2.3455,2.4548,171600
1996-11-15,2.4664,2.5389,2.4422,2.5147,172400
1996-11-18,2.5147,2.5147,2.4905,2.4905,36400
1996-11-19,2.4905,2.5389,2.4905,2.5389,154400
1996-11-20,2.5389,2.5747,2.5389,2.5631,216800
1996-11-21,2.5515,2.5515,2.4664,2.4905,146000
1996-11-22,2.4780,2.5147,2.4664,2.4780,92800
1996-11-25,2.4664,2.5998,2.4664,2.5873,177200
1996-11-26,2.6114,2.6598,2.5873,2.5998,178400
1996-11-27,2.5998,2.6482,2.5873,2.6482,101600
1996-11-29,2.6482,2.6482,2.5747,2.5747,101600
1996-12-02,2.5873,2.5873,2.4905,2.5031,142400
1996-12-03,2.5263,2.5389,2.5031,2.5147,56000
1996-12-04,2.5031,2.5031,2.4422,2.4548,79600
1996-12-05,2.4548,2.4548,2.3213,2.3580,188400
1996-12-06,2.2613,2.3696,2.2362,2.3580,407600
1996-12-09,2.4064,2.4664,2.4064,2.4548,150800
1996-12-10,2.4780,2.5031,2.4664,2.4780,138000
1996-12-11,2.3580,2.4296,2.3580,2.3812,160400
1996-12-12,2.3938,2.3938,2.3329,2.3329,82000
1996-12-13,2.3329,2.3812,2.3329,2.3812,75200
1996-12-16,2.3696,2.3696,2.3455,2.3580,94400
1996-12-17,2.3645,2.4133,2.3518,2.4006,142800
1996-12-18,2.3889,2.4133,2.3772,2.3889,49600
1996-12-19,2.3889,2.4981,2.3889,2.4981,158400
1996-12-20,2.5108,2.5108,2.4493,2.4747,128400
1996-12-23,2.4620,2.4864,2.4493,2.4620,51200
1996-12-24,2.4747,2.4864,2.4620,2.4747,16400
1996-12-26,2.4747,2.4864,2.4747,2.4747,14400
1996-12-27,2.4864,2.5108,2.4864,2.4981,56000
1996-12-30,2.5595,2.5839,2.5351,2.5468,146800
1996-12-31,2.5351,2.5468,2.4864,2.4864,138400
1997-01-02,2.4864,2.4981,2.4133,2.4620,57600
1997-01-03,2.4620,2.4981,2.4620,2.4747,81200
1997-01-06,2.4747,2.5108,2.4747,2.4981,50800
1997-01-07,2.4981,2.5108,2.4747,2.5108,44800
1997-01-08,2.5108,2.5234,2.4981,2.5108,361600
1997-01-09,2.5234,2.5351,2.5234,2.5351,19600
1997-01-10,2.5108,2.5234,2.4981,2.4981,96000
1997-01-13,2.5108,2.5351,2.5108,2.5351,27200
1997-01-14,2.5351,2.5468,2.5351,2.5468,181600
1997-01-15,2.5351,2.6083,2.5351,2.6083,46400
1997-01-16,2.6210,2.6570,2.6210,2.6570,119600
1997-01-17,2.6697,2.6931,2.6697,2.6697,138000
